주차장명,연도,월,시간대,진입차량수(정기권),진입차량수(일반),진입차량수(면제),진출차량수(정기권),진출차량수(일반),진출차량수(면제),도로명주소,지번주소,위도,경도
실내체육관,2021,8,4:00 ~ 5:00,0,4,0,0,20,0,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,8,5:00 ~ 6:00,0,3,0,0,7,0,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,8,6:00 ~ 7:00,25,22,2,6,71,3,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,8,7:00 ~ 8:00,56,60,0,45,85,0,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,8,8:00 ~ 9:00,119,221,7,9,60,0,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,8,9:00 ~ 10:00,231,572,25,27,99,1,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,8,10:00 ~ 11:00,265,"1,109",5,22,331,4,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,8,11:00 ~ 12:00,122,"1,929",14,37,744,3,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,8,12:00 ~ 13:00,52,"2,641",20,49,"1,545",9,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,8,13:00 ~ 14:00,71,"2,226",18,108,"1,987",25,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,8,14:00 ~ 15:00,82,"2,150",15,50,"1,871",15,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,8,15:00 ~ 16:00,91,"1,870",11,57,"1,789",12,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,8,16:00 ~ 17:00,66,"1,936",18,40,"1,747",16,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,8,17:00 ~ 18:00,72,"2,350",19,47,"1,916",19,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,8,18:00 ~ 19:00,44,"3,273",20,97,"2,022",20,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,8,19:00 ~ 20:00,25,"2,163",19,128,"2,321",18,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,8,20:00 ~ 21:00,27,"1,131",14,184,"2,262",43,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,8,21:00 ~ 22:00,11,369,3,142,"1,882",17,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,8,22:00 ~ 23:00,2,122,3,244,"1,080",7,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,8,23:00 ~ 24:00,3,34,0,55,212,3,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,9,0:00 ~ 1:00,0,20,0,4,134,5,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,9,1:00 ~ 2:00,1,4,0,3,72,0,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,9,2:00 ~ 3:00,0,5,0,2,38,1,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,9,3:00 ~ 4:00,0,2,0,1,24,0,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,9,4:00 ~ 5:00,0,3,0,0,18,0,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,9,5:00 ~ 6:00,0,1,0,1,17,0,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,9,6:00 ~ 7:00,24,22,3,10,89,2,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,9,7:00 ~ 8:00,46,59,0,45,87,1,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,9,8:00 ~ 9:00,125,163,6,29,51,0,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,9,9:00 ~ 10:00,200,578,16,14,88,2,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,9,10:00 ~ 11:00,263,"1,061",14,24,284,3,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,9,11:00 ~ 12:00,117,"1,875",15,28,757,8,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,9,12:00 ~ 13:00,55,"2,528",28,44,"1,451",13,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,9,13:00 ~ 14:00,81,"2,122",11,89,"1,876",21,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,9,14:00 ~ 15:00,59,"2,072",14,57,"1,828",27,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,9,15:00 ~ 16:00,67,"1,919",12,62,"1,816",15,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,9,16:00 ~ 17:00,67,"2,011",10,46,"1,773",11,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,9,17:00 ~ 18:00,94,"2,327",19,54,"1,809",14,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,9,18:00 ~ 19:00,29,"2,987",19,77,"1,979",18,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,9,19:00 ~ 20:00,38,"2,233",24,109,"2,143",22,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,9,20:00 ~ 21:00,22,"1,112",9,179,"2,102",20,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,9,21:00 ~ 22:00,7,410,2,139,"1,833",13,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,9,22:00 ~ 23:00,0,139,1,217,"1,150",7,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,9,23:00 ~ 24:00,0,52,1,52,265,2,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,10,0:00 ~ 1:00,1,27,0,36,209,1,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,10,1:00 ~ 2:00,0,11,0,2,82,2,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,10,2:00 ~ 3:00,1,4,0,1,35,0,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,10,3:00 ~ 4:00,0,1,0,1,27,0,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,10,4:00 ~ 5:00,0,0,0,1,6,0,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,10,5:00 ~ 6:00,3,0,0,4,8,0,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,10,6:00 ~ 7:00,20,18,1,18,77,3,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,10,7:00 ~ 8:00,50,93,2,45,187,1,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,10,8:00 ~ 9:00,157,194,14,24,51,0,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,10,9:00 ~ 10:00,209,733,10,16,88,1,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,10,10:00 ~ 11:00,287,"1,238",9,17,355,5,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,10,11:00 ~ 12:00,99,"1,865",9,37,793,8,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,10,12:00 ~ 13:00,46,"2,391",16,53,"1,498",11,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,10,13:00 ~ 14:00,60,"1,840",15,61,"1,861",13,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,10,14:00 ~ 15:00,61,"1,558",7,56,"1,598",14,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,10,15:00 ~ 16:00,86,"1,498",12,73,"1,426",20,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,10,16:00 ~ 17:00,69,"1,633",12,53,"1,445",12,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,10,17:00 ~ 18:00,70,"1,969",23,47,"1,514",11,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,10,18:00 ~ 19:00,21,"2,485",19,86,"1,646",16,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,10,19:00 ~ 20:00,33,"1,939",14,109,"1,846",17,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,10,20:00 ~ 21:00,16,"1,042",10,172,"1,720",20,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,10,21:00 ~ 22:00,11,561,3,144,"1,632",16,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,10,22:00 ~ 23:00,8,207,1,197,"1,086",2,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,10,23:00 ~ 24:00,2,48,0,49,386,5,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,11,0:00 ~ 1:00,3,69,0,22,401,1,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,11,1:00 ~ 2:00,0,46,0,30,226,1,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,11,2:00 ~ 3:00,1,27,0,32,149,0,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,11,3:00 ~ 4:00,1,6,0,4,101,2,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,11,4:00 ~ 5:00,0,3,0,1,34,3,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,11,5:00 ~ 6:00,2,3,0,2,21,2,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,11,6:00 ~ 7:00,18,19,3,14,53,4,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,11,7:00 ~ 8:00,45,85,1,68,75,1,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,11,8:00 ~ 9:00,141,181,8,23,64,1,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,11,9:00 ~ 10:00,197,649,4,29,99,1,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,11,10:00 ~ 11:00,269,"1,107",7,29,319,1,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,11,11:00 ~ 12:00,105,"1,631",9,39,626,5,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,11,12:00 ~ 13:00,35,"2,207",24,44,"1,239",10,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,11,13:00 ~ 14:00,73,"1,691",14,73,"1,722",15,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,11,14:00 ~ 15:00,75,"1,623",6,47,"1,509",18,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,11,15:00 ~ 16:00,68,"1,444",11,56,"1,419",11,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,11,16:00 ~ 17:00,51,"1,489",13,47,"1,359",13,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,11,17:00 ~ 18:00,60,"1,948",23,59,"1,409",14,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,11,18:00 ~ 19:00,32,"2,769",22,85,"1,528",20,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,11,19:00 ~ 20:00,31,"1,935",12,108,"1,817",13,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,11,20:00 ~ 21:00,19,"1,232",9,154,"1,846",16,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,11,21:00 ~ 22:00,19,714,5,117,"1,628",8,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,11,22:00 ~ 23:00,39,396,2,155,"1,104",10,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,11,23:00 ~ 24:00,6,168,1,43,613,5,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,12,0:00 ~ 1:00,1,44,0,17,212,0,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,12,1:00 ~ 2:00,0,22,0,18,127,1,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,12,2:00 ~ 3:00,1,9,0,25,82,0,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,12,3:00 ~ 4:00,0,5,0,2,44,2,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,12,4:00 ~ 5:00,0,2,0,3,24,0,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,12,5:00 ~ 6:00,1,4,0,2,15,1,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,12,6:00 ~ 7:00,13,8,5,6,60,5,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,12,7:00 ~ 8:00,40,56,1,43,63,0,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,12,8:00 ~ 9:00,152,228,5,19,45,0,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,12,9:00 ~ 10:00,174,602,8,25,63,1,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,12,10:00 ~ 11:00,270,"1,045",14,24,289,4,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,12,11:00 ~ 12:00,84,"1,623",12,32,703,7,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,12,12:00 ~ 13:00,44,"2,182",24,49,"1,309",16,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,12,13:00 ~ 14:00,73,"1,726",19,70,"1,631",16,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,12,14:00 ~ 15:00,65,"1,583",5,50,"1,558",19,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,12,15:00 ~ 16:00,69,"1,490",8,48,"1,427",9,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,12,16:00 ~ 17:00,59,"1,656",8,40,"1,441",7,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,12,17:00 ~ 18:00,71,"1,967",22,59,"1,512",13,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,12,18:00 ~ 19:00,36,"2,563",18,102,"1,643",19,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,12,19:00 ~ 20:00,21,"1,721",12,84,"1,713",20,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,12,20:00 ~ 21:00,15,862,9,151,"1,829",11,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,12,21:00 ~ 22:00,8,438,3,190,"1,483",13,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,12,22:00 ~ 23:00,18,183,0,128,668,11,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
실내체육관,2021,12,23:00 ~ 24:00,6,76,0,32,287,1,전라북도 전주시 덕진구 권삼득로 308,전라북도 전주시 덕진구 금암동 664-51,35.8442080450,127.1292608743
